City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Hay River,CA,2022-10-03 20:01:12,60.8156,-115.7999,55.96,39,98,4.0
114,Cap Malheureux,MU,2022-10-03 20:01:13,-19.9842,57.6142,71.47,69,86,4.0
115,Montecristo,CO,2022-10-03 20:01:13,8.2971,-74.4733,90.52,62,67,1.21
116,Barrow,US,2022-10-03 20:01:14,71.2906,-156.7887,26.62,86,100,20.71
117,Hofn,IS,2022-10-03 20:01:15,64.2539,-15.2082,48.69,91,100,10.74
118,Omboue,GA,2022-10-03 20:01:15,-1.5746,9.2618,76.17,86,100,5.39
119,Dikson,RU,2022-10-03 19:59:36,73.5069,80.5464,32.23,99,100,9.15
120,Coahuayana,MX,2022-10-03 20:01:16,18.7333,-103.6833,81.97,81,99,4.23
121,Comodoro Rivadavia,AR,2022-10-03 20:01:16,-45.8667,-67.5,63.45,45,100,13.4
122,Portage,US,2022-10-03 20:01:17,41.1667,-81.1998,66.61,36,0,8.05
123,Aberdeen,GB,2022-10-03 20:01:18,57.1437,-2.0981,55.49,90,40,16.11
124,Meulaboh,ID,2022-10-03 20:01:18,4.1363,96.1285,74.39,93,100,3.06
125,Tiksi,RU,2022-10-03 20:01:19,71.6872,128.8694,21.45,90,99,10.33
126,Mackenzie,CA,2022-10-03 20:01:19,55.2999,-123.1698,65.86,42,84,4.18
127,Lazaro Cardenas,MX,2022-10-03 20:01:23,17.9583,-102.2,83.26,72,58,6.31
128,Yellowknife,CA,2022-10-03 20:01:24,62.456,-114.3525,44.6,60,100,8.01
129,Semnan,IR,2022-10-03 20:01:24,35.5729,53.3971,69.78,32,0,0.74
130,Aksay,RU,2022-10-03 20:01:25,47.26,39.87,59.25,73,100,15.99
131,Gohana,IN,2022-10-03 19:57:23,29.1333,76.7,78.04,48,0,3.42
132,Bathsheba,BB,2022-10-03 20:01:26,13.2167,-59.5167,83.57,75,74,12.59
133,Longyearbyen,SJ,2022-10-03 20:01:26,78.2186,15.6401,37.24,87,75,4.61
134,Naples,IT,2022-10-03 20:01:27,40.8333,14.25,72.21,65,0,11.5
135,Labrea,BR,2022-10-03 20:01:27,-7.2586,-64.7981,92.25,44,66,2.73
136,Yorosso,ML,2022-10-03 20:01:28,12.3536,-4.7761,82.22,62,93,1.95
137,Victoria,HK,2022-10-03 19:59:39,22.2855,114.1577,84.18,83,12,5.1
138,Zharkent,KZ,2022-10-03 20:01:29,44.1628,80.0,59.45,27,100,3.22
139,Naze,JP,2022-10-03 20:01:29,28.3667,129.4833,76.14,79,17,8.23
140,Lorengau,PG,2022-10-03 20:02:30,-2.0226,147.2712,81.01,77,99,6.87
141,Misawa,JP,2022-10-03 19:57:58,40.6836,141.3597,70.61,85,96,8.16
142,Milkovo,RU,2022-10-03 20:02:31,54.7167,158.6167,42.31,87,100,1.59
143,Bredasdorp,ZA,2022-10-03 20:02:31,-34.5322,20.0403,53.02,81,0,7.78
144,Mollendo,PE,2022-10-03 20:02:31,-17.0231,-72.0147,63.5,72,36,7.38
145,Paka,MY,2022-10-03 20:02:32,4.6374,103.4368,76.6,89,99,3.53
146,Lavrentiya,RU,2022-10-03 20:02:32,65.5833,-171.0,36.72,72,1,6.46
147,Allanridge,ZA,2022-10-03 20:02:33,-27.7543,26.6438,70.99,21,14,8.05
148,Bandarbeyla,SO,2022-10-03 20:02:33,9.4942,50.8122,77.54,81,89,17.2
149,Manaure,CO,2022-10-03 20:02:34,11.7751,-72.4445,90.75,52,5,15.93
150,Kenai,US,2022-10-03 20:02:34,60.5544,-151.2583,51.15,86,92,3.74
151,Tambacounda,SN,2022-10-03 20:02:35,13.7539,-13.7586,81.25,75,100,5.79
152,Boditi,ET,2022-10-03 20:02:36,6.9667,37.8667,60.31,83,99,2.1
153,Saint-Gaudens,FR,2022-10-03 20:02:37,43.0833,0.6667,56.01,87,67,3.38
154,Huesca,ES,2022-10-03 20:02:38,42.1362,-0.4087,72.1,55,0,0.0
155,Penzance,GB,2022-10-03 20:02:38,50.1186,-5.5371,57.88,92,33,10.25
156,Muros,ES,2022-10-03 20:02:39,42.7762,-9.0603,63.09,89,0,0.92
157,Mangrol,IN,2022-10-03 20:02:39,21.1167,70.1167,79.97,77,3,7.29
158,Kodiak,US,2022-10-03 20:00:51,57.79,-152.4072,49.51,76,100,8.05
159,Bhimunipatnam,IN,2022-10-03 20:02:39,17.8833,83.4333,80.11,83,100,4.29
160,Iglesias,IT,2022-10-03 20:02:40,39.3114,8.535,67.42,80,15,4.61
161,Goure,NE,2022-10-03 20:02:40,13.9835,10.2704,93.07,17,19,8.39
162,Abu Samrah,SY,2022-10-03 20:02:41,35.3029,37.1841,75.74,65,0,7.18
163,Aromashevo,RU,2022-10-03 20:02:41,56.8602,68.6375,42.01,53,100,13.6
164,Clyde River,CA,2022-10-03 20:02:38,70.4692,-68.5914,30.43,100,100,9.22
165,Vestmanna,FO,2022-10-03 20:02:41,62.1564,-7.1664,49.12,93,100,33.38
166,Komsomolskiy,UZ,2022-10-03 20:02:42,40.4272,71.7189,61.52,44,6,6.91
167,Isla Mujeres,MX,2022-10-03 20:02:42,21.2311,-86.731,82.51,65,21,10.38
168,Hilo,US,2022-10-03 20:02:43,19.7297,-155.09,88.29,85,93,5.99
169,Loandjili,CG,2022-10-03 20:02:43,-4.7561,11.8578,76.68,85,98,7.96
170,Kasangulu,CD,2022-10-03 20:02:44,-4.5911,15.1708,77.16,72,97,2.51
171,Mason City,US,2022-10-03 20:02:25,43.1536,-93.201,74.32,43,0,12.66
172,Hithadhoo,MV,2022-10-03 20:00:49,-0.6,73.0833,81.95,70,100,13.31
173,Bambous Virieux,MU,2022-10-03 20:02:44,-20.3428,57.7575,71.22,78,20,9.22
174,Tatawin,TN,2022-10-03 20:02:44,32.9297,10.4518,73.42,44,3,2.71
175,Vangaindrano,MG,2022-10-03 20:02:45,-23.35,47.6,68.31,91,9,7.45
176,Kavieng,PG,2022-10-03 20:02:45,-2.5744,150.7967,82.17,74,100,12.48
177,Bubaque,GW,2022-10-03 20:02:46,11.2833,-15.8333,82.78,72,78,4.52
178,Acapulco,MX,2022-10-03 20:00:04,16.8634,-99.8901,84.97,69,9,7.96
179,Orocue,CO,2022-10-03 20:02:46,4.7912,-71.3354,85.24,67,93,4.12
180,Sibiti,CG,2022-10-03 20:02:47,-3.6819,13.3499,70.65,91,99,3.06
181,Malanje,AO,2022-10-03 20:02:48,-9.5402,16.341,69.62,77,24,7.43
182,Lebu,CL,2022-10-03 20:02:48,-37.6167,-73.65,53.87,83,100,12.1
183,Puurmani,EE,2022-10-03 20:02:48,58.5738,26.2878,43.29,85,100,14.16
184,Cabo San Lucas,MX,2022-10-03 20:00:10,22.8909,-109.9124,94.6,54,0,4.56
185,Mar Del Plata,AR,2022-10-03 20:02:11,-38.0023,-57.5575,54.95,74,28,5.01
186,Avarua,CK,2022-10-03 20:02:49,-21.2078,-159.775,77.05,73,20,20.71
187,Saint George,US,2022-10-03 20:00:16,37.1041,-113.5841,84.25,35,0,14.97
188,Zalantun,CN,2022-10-03 20:02:50,48.0,122.7167,28.42,45,0,6.58
189,Airai,TL,2022-10-03 20:03:50,-8.9266,125.4092,61.61,92,99,1.19
190,Batagay,RU,2022-10-03 20:03:51,67.6333,134.6333,20.32,97,100,1.23
191,Chirongui,YT,2022-10-03 20:03:51,-12.9319,45.1483,73.33,69,10,5.41
192,Ballina,AU,2022-10-03 20:03:52,-28.8667,153.5667,53.02,99,55,3.56
193,Baghdad,IQ,2022-10-03 19:59:05,33.3406,44.4009,78.71,27,0,3.44
194,Palmer,US,2022-10-03 19:58:57,42.1584,-72.3287,55.24,62,100,5.01
195,Casa Grande,US,2022-10-03 20:03:53,32.8795,-111.7573,96.78,27,0,5.75
196,Hualmay,PE,2022-10-03 20:03:53,-11.0964,-77.6139,66.56,73,14,12.03
197,Killybegs,IE,2022-10-03 20:03:54,54.6333,-8.45,61.21,84,100,27.22
198,Naica,MX,2022-10-03 20:03:54,27.85,-105.4833,78.51,31,41,16.02
199,Leh,IN,2022-10-03 20:03:54,34.1667,77.5833,46.02,44,1,5.5
200,Mitu,CO,2022-10-03 20:03:55,1.1983,-70.1733,86.88,58,60,1.3
201,Kupang,ID,2022-10-03 20:01:58,-10.1667,123.5833,78.49,83,100,3.94
202,Shimoda,JP,2022-10-03 20:03:55,34.6667,138.95,68.11,76,35,6.62
203,Padang,ID,2022-10-03 20:03:56,-0.9492,100.3543,77.13,86,100,3.13
204,Shingu,JP,2022-10-03 20:03:57,33.7333,135.9833,68.92,84,32,4.05
205,Coihaique,CL,2022-10-03 20:01:02,-45.5752,-72.0662,58.3,55,100,7.96
